0	1
0.1	1.5
0.2	2.19
0.3	3.146
0.4	4.4744
0.5	6.32416
0.6	8.903824
0.7	12.5053536
0.8	17.53749504
0.9	24.57249306
1	34.41149028
1.1	48.17608639
1.2	67.43652095
1.3	94.39112932
1.4	132.1175811
1.5	184.9246135
1.6	258.8444589
1.7	362.3222424
1.8	507.1811394
1.9	709.9735951
2	993.8730332
2.1	1391.322246
2.2	1947.741145
2.3	2726.717603
2.4	3817.274644
2.5	5344.044502
2.6	7481.512303
2.7	10473.95722
2.8	14663.37011
2.9	20528.53816
3	28739.76342
3.1	40235.46879
3.2	56329.44631
3.3	78861.00483
3.4	110405.1768
3.5	154567.0075
3.6	216393.5605
3.7	302950.7246
3.8	424130.7445
3.9	593782.7623
4	831295.5772
